,TTPIAIid number,digital file name,eVols collection,location: e-versions,BibID,location: print box list,location: print separated,location: micro reel list,Rights,Series (eVols Collection),Map title,title of file separated from,creator,date of microfilm,"date range indicated by ""/""",extent,,format,Description,language code,subject,combined geo,Pacific Islands (Trust Territory),Northern Mariana Islands,Guam,Palau,Yap,Chuuk,Pohnpei,Kosrae,Marshall Islands,other geo,start yr,end yr,# of containers,container type,X of X,; ,# of pages,"Description, basic",metadata note,format note,Computer #,Map number,cabinet(drawer),verified,archives forms,archival level,maps,oversize,publications,photographs,description of separated contents,Has Version,OCLC Is Version Of,location: e-micro,Digital specifications,Reel & Frame,,
TTPIAmapid,DC = identifier,n/a,intended location for e-versions,DC = Source (box inventories),DC = identifier,DC = Source / Has version,DC = Source / Has version,DC = Source / Has version,DC = Rights,DC = part of,DC = title ,DC = Part of,DC = creator,DC = date,DC = temporal,DC = extent,DC = Type,,DC = description,DC = language,,DC = spatial,Pacific Islands (Trust Territory),Northern Mariana Islands,Guam,Palau,Yap,Chuuk,Pohnpei,Kosrae,Marshall Islands,,,,DC = extent,DC = extent,DC = extent,; ,DC = extent,DC = description,metadata note,format note,DC = identifier,DC = identifier,,,disposal https://hdl.handle.net/10524/68905,,separation note,separation note,separation note,separation note,DC = description,dcterms:hasVersion,dcterms:isVersionOf,DC = Source,DC = Digital specifications,Reel & Frame,space, / 
TTPIAmapid_0212,,,,,bibid_00967,TTPIA Box 014 Folder 25,TTPIA Separated maps box 02,MICROFILM V10001 Reel 0062 Section 008,No copyright in the US,"Department of Resources and Development, Land and Survey","Map 01: SK no. 142-64, fencing off public work and warehouse area.","178.12.04.04. New Public Library, Koror, Palau.","Department of Resources and Development, Land and Survey",,1964,,Text,archival record,"Includes cartographic material, correspondence, and reports. Deeds and agreements on lands for capital improvement.",eng,land homesteads applications$$land homesteads deeds,Palau$$Koror,,,,Palau,,,,,,$$Koror,,,1, folder,,; ,,"Includes cartographic material, correspondence, and reports. Deeds and agreements on lands for capital improvement.",,,00971,SK-142/64,95404(4),,retain,,01 of 01,,,,,,,Reel scan: automated use copy,UHM automated scan,Reel 0062 Frame 0031, , / 
TTPIAmapid_0218,,,,,x,TTPIA Box 014 Folder 27,TTPIA Separated maps box 02,xxnot filmed?,No copyright in the US,"Department of Resources and Development, Land and Survey",Map 01: SK-285/67 proposed location of community abai.,"178.12.04.06. New community center site, Abai, Palau","Department of Resources and Development, Land and Survey",,1967,,Text,archival record,Includes administrative records and cartographic material.,eng,public works buildings,Palau,,,,Palau,,,,,,,,,1, folder,,; ,,Includes administrative records and cartographic material.,,,,SK-285/67,,,retain,,01 of 01,,,,,,,,,, , / 
TTPIAmapid_0407,,,,,bibid_00958,TTPIA Box 023 (TEMP),TTPIA Separated maps box 02,MICROFILM V10001 Reel 0061 Section 004,No copyright in the US,"Department of Resources and Development, Land and Survey",Map 01: 2016/70 property map tract no. 21614 land square 7 section 2.,178.15.02.01 part 4. Agricultural homesteading. General. Saipan.,"Department of Resources and Development, Land and Survey",,1970,5 folders,Text,archival record,"Includes cartographic material, correspondence, and reports. Quitclaim deeds and correspondence regarding agricultural homesteading, Saipan, Mariana Islands.",eng,land claims$$land homesteads$$land homesteads deeds,Northern Mariana Islands$$Saipan$$Garapan Village,,Northern Mariana Islands,,,,,,,,$$Saipan$$Garapan Village,,,1, folder,,; ,,"Includes cartographic material, correspondence, and reports. Quitclaim deeds and correspondence regarding agricultural homesteading, Saipan, Mariana Islands.",,,00962,2016/70,75353(3),,retain,,01 of 01,,,,,,,Reel scan: automated use copy,UHM automated scan,Reel 0061 Frame 0057, , / 
TTPIAmapid_0339,,,,,bibid_00950,TTPIA Box 016 Folder 10,TTPIA Separated maps box 02,MICROFILM V10001 Reel 0060 Section 002,No copyright in the US,"Department of Resources and Development, Land and Survey","Map 01: [uncharted municipalities, Yap Island]",178.14.02 part 04. Land Commission. Mariana Islands.,"Department of Resources and Development, Land and Survey",1980-1987,1970,1 folder,Text,archival record,Includes correspondence and reports. ,eng,land hearings decisions ownership determination$$legal laws regulations and rules land laws,Yap,,,,,Yap,,,,,,,,1, folder,,; ,,Includes correspondence and reports. ,,,00954,,95404(5),,retain,,01 of 01,0,0,0,n/a,,,Reel scan: automated use copy,UHM automated scan,Reel 0060 Frame 0032, , / 
TTPIAmapid_0386,,,,,bibid_00920,TTPIA Box 022 (TEMP),TTPIA Separated maps box 02,MICROFILM V10001 Reel 0057 Section 002,No copyright in the US,"Department of Resources and Development, Land and Survey","Map 01: 7023/72 Land registration area no. 7, Kusaie Municipality",178.14.09 part 1. Land Commission. Kosrae.,"Department of Resources and Development, Land and Survey",1980-1987,1972,5 folders,Text,archival record,"Includes cartographic material and correspondence. Periodical: Ponape Land Gazette (OCoLC: 11558950). Determination of land ownerships, Kosrae island. Periodical: Ponape Land Gazette.",eng$$pon,land hearings decisions ownership determination$$land tenure land customs,Kosrae,,,,,,,,Kosrae,,,,,1, folder,,; ,,"Includes cartographic material and correspondence. Periodical: Ponape Land Gazette (OCoLC: 11558950). Determination of land ownerships, Kosrae island. Periodical: Ponape Land Gazette.",,,00924,7023/72,75353(2),,retain,,01 of 01,1,0,0,Oversize 1: Ponape land commission organizational chart. Map 1:,,,Reel scan: automated use copy$$https://hdl.handle.net/10524/70622,UHM automated scan,Reel 0057 Frame 0005, , / 
TTPIAmapid_0414,,,,,bibid_00438,TTPIA Box 025 (TEMP),TTPIA Separated maps box 02,MICROFILM V10001 Reel 0029 Section 005$$Reel 0061 Section 001,No copyright in the US,"Department of Resources and Development, Land and Survey",Map 01: Tinian agricultural subdivision.,178.15.02.07 part 2. Agricultural homesteading. General. Tinian.,"Department of Resources and Development, Land and Survey",,1974,489 pages,Text,archival record,"Includes cartographic material, correspondence, and reports. Agricultural and village homesteading, Tinian Island.",eng,economic development agriculture$$land homesteads,Northern Mariana Islands$$Tinian,,Northern Mariana Islands,,,,,,,,$$Tinian,,,1, folder,,; ,,"Includes cartographic material, correspondence, and reports. Agricultural and village homesteading, Tinian Island.","likely typo in ""continued from"" frame #. 0217 not 0027.",,00437,,75353(3),,retain,,01 of 01,,,,,,,Reel scan: automated use copy,UHM automated scan,Reel 0029 Frame 0217$$Reel 0061 Frame 0000, , / 
TTPIAmapid_0377,,,,,bibid_00434$$bibid_00921,TTPIA Box 021 (TEMP),TTPIA Separated maps box 02,MICROFILM V10001 Reel 0029 Section 001$$Reel 0057 Section 003$$Reel 0059 Section 001,No copyright in the US,"Department of Resources and Development, Land and Survey","Map 01: PW 7511, field survey crew office, an addition to the existing land management building.",178.14.07 part 13. Land Commission. Ponape.,"Department of Resources and Development, Land and Survey",,1975,1116 pages,Text,archival record,"Includes cartographic material, correspondence, images, and reports. Land determination of ownership, inquiry and notice, hearings, land claims and applications for registration of land parcel, Ponape. Periodical: Ponape Land Gazette (OCoLC: 11558950). Determination of land ownerships, Ponape. Preliminary inquiry, land notice, hearings, land claims and applications for registration of land parcel. Periodical: Ponape Land Gazette.",eng,land claims$$land homesteads applications$$land register of land transactions,Pohnpei,,,,,,,Pohnpei,,,,,,1, folder,,; ,,"Includes cartographic material, correspondence, images, and reports. Land determination of ownership, inquiry and notice, hearings, land claims and applications for registration of land parcel, Ponape. Periodical: Ponape Land Gazette (OCoLC: 11558950). Determination of land ownerships, Ponape. Preliminary inquiry, land notice, hearings, land claims and applications for registration of land parcel. Periodical: Ponape Land Gazette.",,,00433,PW 7511,75353(2),,retain,,01 of 01,,,,,,,Reel scan: automated use copy$$https://hdl.handle.net/10524/70622,UHM automated scan,Reel 0029 Frame 0000, , / 
TTPIAmapid_0382,,,,,bibid_00434$$bibid_00921,TTPIA Box 021 (TEMP),TTPIA Separated maps box 02,MICROFILM V10001 Reel 0029 Section 001$$Reel 0057 Section 003$$Reel 0059 Section 001,No copyright in the US,"Department of Resources and Development, Land and Survey","Map 01: 046-A-00, cadastral plat, Net.",178.14.07 part 19. Land Commission. Ponape.,"Department of Resources and Development, Land and Survey",,1975,1116 pages,Text,archival record,"Includes cartographic material, correspondence, images, and reports. Land determination of ownership, inquiry and notice, hearings, land claims and applications for registration of land parcel, Ponape. Periodical: Ponape Land Gazette (OCoLC: 11558950). Determination of land ownerships, Ponape. Preliminary inquiry, land notice, hearings, land claims and applications for registration of land parcel. Periodical: Ponape Land Gazette.",eng,land claims$$land homesteads applications$$land register of land transactions,Pohnpei$$Net,,,,,,,Pohnpei,,,$$Net,,,1, folder,,; ,,"Includes cartographic material, correspondence, images, and reports. Land determination of ownership, inquiry and notice, hearings, land claims and applications for registration of land parcel, Ponape. Periodical: Ponape Land Gazette (OCoLC: 11558950). Determination of land ownerships, Ponape. Preliminary inquiry, land notice, hearings, land claims and applications for registration of land parcel. Periodical: Ponape Land Gazette.",,,00433,046-A-00,75353(2),,retain,,01 of 01,,,,,,,Reel scan: automated use copy$$https://hdl.handle.net/10524/70622,UHM automated scan,Reel 0029 Frame 0000, , / 
